Species,Count,Date,Time_start,Time end,Pack,IDs,Photos,Latitude,Longitude,Location,Behaviour,Description,Observer,Record_type,SEX,AGE
Dingo,1,4-12-2019,12:27,,UNK,,,-32.659477,152.180452,Sewage Work,Walking ,May be apart of WT or SL pack,,Researcher,M,A
Dingo,2,4-12-2019,,,SL,SLF1501 1pup,,,,Roadside,Walking ,,,Researcher,V,A
Dingo,3,4-12-2019,,,SL,SLF1901 SLM1902 SLF1501,,,,Roadside,Walking ,,,Researcher,V,A
Dingo,1,5-12-2019,14:38,,FS,FSM1401,,,,Roadside,Walking ,,,Researcher,M,A
Dingo ,7,7-01-2020,,,SL,SLF1501 SLM1902 SLF2001 SLF2003 Unknown Unknown Unknown,,-32.607702,152.23228,Campground,Scavenging,Couldn't identify last 3 individuals,,Researcher,V,V
Dingo,1,3-02-2020,,,MB,MBF1702,,,,Lake,Walking,,,Researcher,F,A
Dingo,1,21-02-2020,,,,,,,,Mungo Brush Road,Walking,May be SLF1901,,Researcher,,
Dingo,2,21-02-2020,,,SL,PCM1601 SLM1901,,,,Offroad ,Resting ,,,Researcher,M,A
Dingo,1,4-03-2020,,,SL,SLM1901,,,,Roadside,Resting ,,,Researcher,M,A
Dingo,1,4-03-2020,,,MB,MBM1901,,-32.519791,152.323349,White Tree Bay,Sniffing,Sniffing and walking aroud,NJ/BP,Researcher,M,A
Dingo,2,4-03-2020,,,,Unknown,,-32.521769,152.265358,Near Mungo Brush,Walking ,Male may be WTM1502 and collared female,NJ,Researcher,V,
Dingo,1,5-03-2020,12:13,,,Unknown,,-32.525529,152.320624,Wells Cameratrap ,Walking ,May be apart of MB pack,NJ,Researcher,,
Dingo,1,5-03-2020,,,MB,UOM1701,,-32.521769,152.265358,Near Mungo Brush,Walking ,,NJ,Researcher,M,A
Dingo ,1,6-03-2020,,,MB,MBF1701,,-32.509151,152.317336,Near Boomeri,Resting ,wearing a collar ,NJ,Researcher,F,A
Dingo ,1,6-03-2020,,,MBF1702,Unknown,,-32.525529,152.320624,The Wells  ,Resting ,weaing a collar ,NJ,Researcher,,
Dingo ,3,19-03-2020,,,,Unknown,,-32.549751,152.30524,Banksia Green ,Growling ,grey dog and maybe MBM1901 UNM1701,NJ,Researcher,,A
Dingo ,2,26-04-2020,,,SL,PCM1601 SLF1501,,,,,Resting ,,NJ,Researcher,V,A
Dingo,5,29-04-2020,17:30,18:01,SL,SLF1501 PCM1601 Unknown Unknown Unkown,Y,-32.560506,152.29984,Hole in wall,Hunting,Found at Hole in wall. Piper sniffed and RLU on pole. Pack went to beach and foraged in intertidal zone. Socks dug ~30cm deep hole there. Not seen eating anything from it. Yearling F did sq shit in the hole. Climbed back up to Hole in Wall carpark from beach and headed along road to south. Lost at 17:53. Picked up dgain at 17:58 and lost at 18:01 heading down to beach again. ,NJ/BV/MC,Researcher,V,V
Dingo ,2,30-04-2020,,,WT,WTF1501 WTF1502,,-32.662768,152.179348,Golf Course ,Walking/running ,,NJ,Researcher,F,A
Dingo ,1,7-05-2020,,,SL,PCM1601,,-32.628524,152.204451,Near Lemon Tree ,Walking ,,NJ,Researcher,M,A
Dingo ,2,10-05-2020,,,,Unknown,,,,Offroad ,Walking,,NJ,Researcher,V,A
Dingo ,1,13-05-2020,,,SL,SLF1901,,-32.626159,152.211644,Near lemon Tree ,Walking ,,NJ,Researcher,F,A
Dingo ,4,15-05-2020,,,MB,MBM1501 MBF1401 MBM1901 Unknown,,,,Offroad ,Walking ,,NP,Researcher,V,A
Dingo ,2,16-05-2020,,,WT,WTF1501 WTM1502,,-32.644382,152.186187,1.5m north of Sewage Plant,Walking,,NJ,Researcher,F,A
Dingo ,1,25-05-2020,,,,,,,,Drive way ,Walking ,May be UOM2001,,Researcher,,
Dingo ,1,29-05-2020,,,SL,PCM1601,,,,Sand dunes ,Walking ,Wearing a collar may be PCM1601,NP,Researcher,M,A
Dingo ,1,29-05-2020,,,,,No picture ,-32.669068,152.052,IGA ,,May be SLF1901,NP,Researcher,F,A
Dingo ,1,30-05-2020,,,,,,,,,,Near Mungo Brush maybe SLF1901 no picture provided ,NP,Researcher,F,A
Dingo ,1,11-06-2020,,,,,,-32.673725,152.184504,,Resting ,Near surf club maybe SLF1901,NP,Researcher,F,A
Dingo ,1,18-06-2020,,,MB,MBM1901,,-32.549751,152.30524,Banksia Green ,Walking,,NJ,Researcher,M,A
Dingo ,5,18-06-2020,,,WT,WTF1501 Unknown Unknown Unknown Unknown,,-32.660965,152.182053,At den,,WTF1501 is collared. 4 pups,NJ,Researcher,V,V
Dingo ,1,3-09-2020,,,SL,SLF1501,,-32.680382,152.179584,SL Campgrounds ,Standing ,,CB,Researcher,F,A
Dingo ,1,3-09-2020,,,MB,MBF1401 ,No picture ,-32.680382,152.179584,Wells Campground ,Wary,Keeping its distance has a limp in front right leg and teats are full ,CB,Researcher,F,A
Dingo,7,10-10-2020,,,SL,PCM1601 SLF1501 SLM1901 Unknown Unknown Unknown Unknown,,-32.607702,152.23228,Campground,Scavenging,"Raiding campsite. Opening Esky to drink ice. 2 pups were female, other 2 not determined. Collar looks good, moving freely etc. ",NJ,Researcher,V,V
Dingo,3,18-10-2020,,,SL,SLF2003 Unknown Unknown,,-32.607702,152.23228,,Resting ,Other pups may be SLF2001 SLF2002,,Researcher,F,J
Dingo ,1,19-10-2020,,,,UOM1701,,,,At depot,Urinating,,,Researcher,M,A
Dingo ,4,23-10-2020,,,SL,SLF1901 SLF1501 ,,-32.607702,152.23228,,Walking and resting ,pups may be SLF2001 and SLF2002,BP,Researcher,F,V
Dingo ,4,23-10-2020,,,SL,SLF1501 SLF1901 SLF2001 SLF2002 ,,-32.607702,152.23228,,Walking and resting ,,,Researcher,F,V
Dingo ,1,15-11-2020,,,,,,,,Beach,Standing ,Standing close to a person may be SLM1902,NP,Researcher,,
Dingo ,1,15-11-2020,,,SL,PCM1601,,,,Beach,Walking ,Wearing a collar may be PCM1601,NP,Researcher,M,A
Dingo ,2,17-11-2020,,,SL,SLF2002,,,,,,May be SLF2001,,Researcher,,
Dingo ,1,18-11-2020,,,SL,SLF1901,,,,Roadside,Resting ,,,Researcher,F,A
Dingo ,1,18-11-2020,,,SL,SLF1501 ,,,,,Resting ,,,Researcher,F,A
Dingo ,1,19-11-2020,,,SL,SLF1901,,,,Roadside,resting ,,,Researcher,F,A
Dingo ,2,20-11-2020,,,SL,UOF2001 UOM1701,,-32.546379,152.26105,Angophora Picnic Area,Resting ,,,Researcher,V,V
Dingo ,1,13-12-2020,,,SL,SLF1901,,-32.617901,152.217386,Main Road between SL and Pipers,Walking,,,Researcher,F,A
Dingo ,1,16-12-2020,,,SL,SLM1902 PCM1601 Unknown Unknown Unknown,,,,,walking,With 3 female pups,,Researcher,V,V
Dingo ,1,16-12-2020,,,SL,SLF1501,,-32.521769,152.265358,Mungo Brush Road,Walking,,,Researcher,F,A
Dingo ,2,16-12-2020,,,,UOF1801 MBM2001,,-32.538648,152.314349,Dees Corner,Walking and resting ,,,Researcher,V,V
Dingo ,6,20-12-2020,,,,Unknown,,,,Sand dunes ,Chasing a man ,Dark coloured dingoes,NP,Researcher,,
Dingo ,4,7-01-2021,20:30,20:32,,Unknown,No picture ,-32.681087,152.180024,Jimmy's Beach caravan park enterance ,Barking growling fangs out ,Dingoes behaving aggressively towards 2 pet dogs and the two owners,,Researcher,,
Dingo ,1,7-01-2021,,,,Unknown,,,,Sand dune ,Walking ,May be from SL pack may be SLM1902,NP,Researcher,M,A
Dingo ,1,15-01-2021,,,MB,MBF1701,,,,Mining Road,Walking,,BA,Researcher,F,A
Dingo ,2,21-01-2021,21:11,,,UOM1701 MBF2002,,-32.486103,152.34646,Gibber Track,,caught on camera trap,BA,Researcher,V,V
Dingo ,3,21-01-2021,21:27,,,UOM1701 MBF2002 MBF2003,,-32.486103,152.34646,Gibber Track,Walking ,caught on camera trap,BA,Researcher,F,V
Dingo ,1,1-02-2021,,,,UOF1801,,-32.486103,152.34646,Gibber Track,Walking,,BA,Researcher,F,A
Dingo ,1,3-02-2021,20:42,,,UOF2005,,-32.438582,152.430385,One Horse Sands intersection ,,caught on camera trap,BA,Researcher,F,J
Dingo,1,3-02-2021,23:39,,,UOM2001,,-32.486103,152.34646,Gibber Track,Sniffing ,caught on camera trap,BA,Researcher,M,J
Dingo,1,8-02-2021,,,MB,MBF2002,,-32.486103,152.34646,Gibber track,,,BA,Researcher,F,J
Dingo,1,22-02-2021,,,MB,MBF2001,,-32.521769,152.265358,Mungo Brush,Standing,,BA,Researcher,F,J
Dingo,1,22-02-2021,,,SL,SLF2001,,,,Road,Walking,,NJ,Researcher,F,J
Dingo,2,22-02-2021,,,,UOM1702 UOF1703,,-32.679811,152.170654,Jimmys Beach,Resting,,NJ,Researcher,V,A
Dingo,1,2-03-2021,,,,UOF1802 ,,-32.679811,152.170654,Jimmys Beach,Dead,Controlled Dingoes,NJ,Researcher,F,A
Dingo,2,5-03-2021,,,,UOM1803 UOM1601,,-32.679811,152.170654,Jimmys Beach,Dead,Controlled Dingoes,NJ,Researcher,M,A
Dingo,1,6-03-2021,,,,UOM1804,,-32.679811,152.170654,Jimmys Beach,Dead,Controlled Dingoes,NJ,Researcher,M,A
Dingo,1,7-03-2021,,,,UOF1805,,-32.679811,152.170654,Jimmys Beach,Dead,Controlled Dingoes,NJ,Researcher,F,A
Dingo,1,8-03-2021,,,SL,SLF1901,,-32.521769,152.265358,Mungo Brush Road,Resting,,NJ,Researcher,F,A
Dingo,1,8-03-2021,,,MB,UOM2002,,-32.503059,152.304883,Camp Bombah,,Red dog,NJ,Researcher,M,J
Dingo,5,10-03-2021,,,MB,UOF1801 UOM1701 UOM2002 UOM2001 UOF2003,,-32.509151,152.317336,Near Boomeri,Walking,,NJ,Researcher,V,V
Dingo,4,10-03-2021,,,MB,UOM1701 UOM2002 UOM2001 UOF1801,,-32.503059,152.304883,Camp Bombah,Walking,,NJ,Researcher,V,V
Dingo,6,11-03-2021,,,SL,SLF2001 SLF1501 PCM1601 SLF2003 SLM1902 SLF2005,,-32.598477,152.264739,Sand dunes,Resting,At Dark Point ,CB,Researcher,V,V
Dingo,1,18-04-2021,,,,,,-32.557431,152.284673,Mungo Trail,Foraging,Might be SLF1901 Thin and had nasal discharge,CB,Researcher,F,A
Dingo,1,20-04-2021,14:46,,,,,-32.504449,152.164545,Bombah Point Ferry,Walking ,Might be UOM1701 Looks underweight ,NP,Researcher,M,
Dingo,3,22-04-2021,21:16,,,UOM1707 UOF1703 UOF1501,Y,-32.661561,152.182875,Shitworks Trap,,Walking around trap and digging beneath it,,Researcher,MFF,A
Dingo,3,25-04-2021,13:46,13:54,MB,UOF1801 UOM1701 UOM2001,Y,-32.5162,152.3232,Corner Hawks Nest-Seal rocks road and Mungo brush road ,Begging,,BA/FP,Researcher,MMF,A 
Dingo,1,25-04-2021,14:26,,SL,SLF1901,Y,-32.630522,152.201642,Beside MB road.,Standing,Basically road-side begging,NJ/BP,Researcher,F,A
Dingo,3,25-04-2021,17:50,18:00,MB,UOF1801 UOM1701 UOM2001,Y,-32.5437,152.3103,Mungo Brush Campground,Begging,,BA/FP,Researcher,MMF,AAA
Dingo,2,25-04-2021,18:00,18:15,UNKNOWN,UOM1707,Y,-32.656083,152.181675,MB road near town,,Moving together towards town and marking. Female may be WTF1501,NJ,Researcher,MF,V
Dingo,3,25-04-2021,,,SL,SLF1501 SLF2002 PCM1601,Y,-32.560818,152.300655,Near Hole in the Wall ,Walking,,,Researcher,FFM,A
Dingo,1,26-04-2021,8:50,9:00,MB,UOM2001,Y,-32.5091,152.319,Boomeri,,Very skinny,NJ/BP,Researcher,M,Y
Dingo,1,26-04-2021,13:00,13:15,SL,SLF1901,Y,-32.63297,152.196338,MB road,,Seen by Bobby-Jo and Michelle Campbell. ,BV/MC,Researcher,F,A
Dingo,1,26-04-2021,23:55,0:00,MB,UOM2001,N,-32.509203,152.320196,Boomeri,Skulking around camp,Skulking around camp,ALL,Researcher,M,Y
Dingo,1,26-04-2021,,,MB,UOM2001,N,-32.503059,152.304883,Bombah depot,Checking trap,Coming in to check trap.,ALL,Researcher,M,Y
Dingo,1,27-04-2021,11:40,,MB,UOM2001,N,-32.509203,152.320196,Boomeri,Skulking around camp,Skulking around camp,ALL,Researcher,M,Y
Dingo,1,27-04-2021,20:25,,MB,UOM2002,N,,,,Running,Running along road,NJ/BV,Researcher,M,A
Dingo,2,27-04-2021,20:30,,MB,UOF1801 UOM1701,N,-32.526677,152.322863,White Tree Bay,Running,Running along road,NJ/BV,Researcher,FM,A
Dingo,3,27-04-2021,22:20,13:00,MB,UOM2001 UOF2003 UOF1801,Y,-32.509203,152.320196,Boomeri,Chasing,Bombah raiuded bin. UOF2003 chased off by UOM2001. Ben P has pictures. ,NJ/BP,Researcher,MFF,V
Dingo,2,27-04-2021,,,MB,UOM2001 UOM2002,Y,-32.503059,152.304883,Bombah depot,a,Trapped and collered UOM2002 (Red dog),ALL,Researcher,M,Y
Dingo,1,28-04-2021,0:17,0:17,,Unknown,,-32.516232,152.32313,Dingo2corner,Running,Unknown id riunning away from car.,NJ/BV,Researcher,,
Dingo,1,28-04-2021,10:19,10:22,MB,UOM2001,Y,-32.5029,152.3059,Bombah Point Depot,Resting,,BA/FP,Researcher,M,Y
Dingo,2,28-04-2021,12:20,12:42,MB,UOM1701 UOF1801,Y,-32.5091,152.319,Boomeri Campground,"Sniffing for food, calm. Bombah boy overmarks all of red dogs marks from earlier in the day on various trees and shrubs",,BA,Researcher,MF,A
Dingo,1,28-04-2021,13:10,13:20,SL,SLF1901,Y,-32.6581,152.181,Water Treatment,Begging at car,,BA/FP,Researcher,F,A
Dingo,1,28-04-2021,16:12,16:25,MB,UOM2001,Y,-32.5091,152.319,Boomeri Campground,Begging/Sniffing for food at camp,Marked on spot where Bombah boy marked earlier,BA/FP,Researcher,M,A
Dingo,2,28-04-2021,18:05,19:00,MB,UOM1701 UOF1801,Y,-32.5091,152.319,Boomeri Campground,Sleeping,,BA,Researcher,MF,A
Dingo,3,29-04-2021,19:20,19:25,SL,SLF1501,Y,-32.5917,152.2722,Mungo Brush road,Begging at car/running down road,"Socks and two pups, unclear photos (at night)",,Researcher,,
Dingo,1,29-04-2021,19:32,19:33,MB,UOM2002,N,-32.509203,152.320196,Boomeri,Walking,Walking through camp.,NJ,Researcher,,
Dingo,1,30-04-2021,6:59,6:59,,Unknown,N,,,200m N or SW,Running from car,Unknown id riunning away from car.,NJ/BA,Researcher,,
Dingo,1,13-05-2021,9:11,9:15,MB,UOM2001,Y,-32.550086,152.308627,Dune beside track at back of Banksia Green CS.,Walking,Walking in to camp. Much better condition than 2 weeks ago. Less ribby. Signal for UOM2002 (Red Dog) and Bombah Boy close by. ,NJ,Researcher,M,A
Dingo,1,13-05-2021,10:55,11:15,SL,SLF1901,Y,-32.637543,152.191337,"300m N of Myall River camp on road, walking south",,Walking on road south towards town. Good condition,NJ,Researcher,F,A
Dingo,1,13-05-2021,11:20,11:40,WT,WTF1501,Y,-32.661922,152.171333,End of Albatross on green.,Walking/Foraging,"Foraging shore line. Emerged from woodland to south, trotting. Worked shoreline and park before going into woodland at north. Wary. Swollen vulva.",NJ,Researcher,F,A
Dingo,1,13-05-2021,12:30,12:35,SL,SLF1901,N,-32.657808,152.181137,100m N SW entry. ,Walking/begging,Walking on road and interacting with cars.,NJ/BP,Researcher,F,A
Dingo,,13-05-2021,13:00,13:20,JB,UOF1501,N,-32.666589,152.18493,Back of golf club close to trail toSW. ,Unknown,Downloaded collar. Dingo not seen.,NJ/BP,Researcher,F,A
Dingo,4,13-05-2021,13:45,14:27,MB,UOM1701 UOM2002 UOM2001 UOF1801,Y,-32.54938,152.307949,Banksia Green,Skulking/resting,Resting and skulting around caravans in campsite. Both collars downloaded.,NJ/BP,Researcher,MMMF,AAAA
Dingo,1,13-05-2021,14:45,14:55,SL,SLF2001,Y,-32.560818,152.300655,Hole in Wall,Skulking,Checking out picnic table each time a group left. Very bulky female in really good condition - a little overweight if anything. (NOTE- was actually preg at this point!),NJ/BP,Researcher,F,A
Dingo,1,13-05-2021,15:30,15:32,SL,UOM2004 SLF2003,Y,-32.607743,152.232478,Stewardt and Lloyds,Walking,Downloaded. Consort male is beautiful but very shy and slinky. SLF2003 has slightly swollen vulva. She defecated in squat posyiure at back end of camp.,NJ/BP,Researcher,FM,AA
Dingo,1,18-05-2021,,,WT,WTF1501,Y,-32.641926,152.148941,Edge of Hawks Nest ,Walking,,,Researcher,F,A
Dingo,1,24-05-2021,,,UNK,UOP2006,Y,-32.641926,152.148941,Edge of Hawks Nest,Dead,,NJ,Researcher,UNK,A
Dingo,1,8-09-2021,17:03,17:05,SL,SLF2002,Y,-32.602945,152.236649,Just past Stewart and Lloyds,Trotting with purpose,"Looked like she was pregnant, nips out, ran into bushes",BA,Researcher,F,A
Dingo,2,8-09-2021,17:40,17:55,MB,UOM1701 UOM2002,N,-32.525115,152.322834,Wells Campground,Walking,"Bombah Boy appeared to be running after red dog- they may have been running together hunting something, ",BA,Researcher,MM,AA
Dingo,1,9-09-2021,8:35,8:40,MB,UOM2002,Y,-32.527727,152.322749,White Tree Bay Campground,Walking North,"Dingo howling to the north, red dog runs northwards. ",BA,Researcher,M,A
Dingo,4,9-09-2021,13:35,13:45,JB,Unknown,N,-32.680936,152.181294,Bushland off Jimmys beach,Walking,"Tracked to den- did not see Michelle the mother, but did see 4 pups. All with similar markings, dark face, white socks",BA,Researcher,UUUU,PPPP
Dingo,1,9-09-2021,13:58,14:02,None,SLF1901,Y,-32.659097,152.180671,Road at Water Treatment ,,Begging for food at the car,BA,Researcher,F,A
Dingo,1,9-09-2021,16:37,16:43,SL,SLF2003,N,-32.560833,152.299477,"Mungo BrushRoad, near Hole in the Wall",Walking,Ducks into bushes when car approaches. Collar download.,BA,Researcher,F,A
Dingo,1,9-09-2021,17:50,18:00,MB,UOM2002,N,-32.505942,152.314617,"Mungo Brush Road , near northern broadwater picnic area",Walking,Ducks into bushes when car approaches,BA,Researcher,M,A
Dingo,1,10-09-2021,7:20,8:15,MB,UOM2002,N,-32.509171,152.319427,Mungo Brush,Lying,"Lying in the sun, then howling for a long time. Heads up old Mining Rd  alone, but appears to be howling to another dog",BA,Researcher,M,A
Dingo,2,10-09-2021,10:10,10:18,MB,UOF1801 UOM1701,Y,-32.538777,152.316543,Dees Corner Campground,Sleeping,"Lying in the sun, no movement",BA,Researcher,FM,AA
Dingo ,1,10-09-2021,11:30,11:32,None,SLF1901,N,-32.669301,152.178028,Hawks Nest,Begging,Begging for food near car ,BA,Researcher,F,A
Dingo,1,5-10-2021,14:35,14:30,None,SLF1901,Y,-32.66884,152.178,Hawks Nest,Begging,Begging for food near car,BA/FP,Researcher,F,A
Dingo,1,5-10-2021,15:30,15:31,SL,SLF2003,N,-32.59927,152.267988,Dark Point,Walking,"Perhaps scared, walking away, on the dunes.",BA/FP,Researcher,F,A
Dingo,4,5-10-2021,16:10,16:30,MB,UOM1701 UOF1801 UOM2001 UOM2002,Y,-32.544101,152.31031,Beach opposite Mungo Brush,Walking,"Playing, walking together, commuting down the beach. ",BA/FP,Researcher,FMMM,A
Dingo,2,5-10-2021,21:00,21:02,MB,UOM1701 UOF1801,N,-32.5091,152.319,Boomeri,Walking,Both dogs commuting with purpose,BA/FP,Researcher,FM,A
Dingo,2,5-10-2021,22:00,22:03,MB,UOM1701 UOF1801,N,-32.5091,152.319,Boomeri,Walking,Returning back the othe way,BA/FP,Researcher,FM,A
DIngo,4,6-10-2021,14:00,14:10,SL,SLF2002 SLU2101 SLU2102 SLU2103,Y,-32.599867,152.265724,Dark Point,Hanging around den,"checking out us and being generally protective of pups. Mum looked as if she were rounding up the pups potentially, pups scattered when we arrived.",BA/FP,Researcher,FUUU,APPP
DIngo,1,1-11-2021,12:54,12:55,None,SLF1901,N,-32.669738,152.177974,Corner of Mermaid road. ,Standing,Essentially begging,NJ,Researcher,F,A
DIngo,1,1-11-2021,13:20,13:20,JB,UOF1501,Y,-32.67768,152.18291,HN,Running,Running away through thick bush. Collar moving freely. No better sighting. Downloaded collar.,NJ,Researcher,F,A
DIngo,4,1-11-2021,17:40,17:45,SL,SLF2003 SLF2001 SLF1501 Unknown,Y,-32.6005,152.260363,Dark point near den,,Vicinity of den. lots of pup tracks. SLF2003 downloaded. Barked howled on approach and Socks and SLF2001 (nips not up) and one other (older male perhaps from 2019?) came running from oceanside dune and were snuffing etc. Found sipwells nearby- see pics. ,NJ/BP,Researcher,FFFU,AAAA
DIngo,1,3-11-2021,14:47,14:51,None,SLF1901,Y,-32.600935,152.241086,Beside Mungo Brush road in park. Looks moulty and in poor condition. SL1.,,,NJ/BP,Researcher,F,A
Dingo,3,13-11-2021,17:45,,MB,UOM1701 UOF1801 UOM2001 UOM2002,N,-32.509181,152.320206,Boomeri,Howling,Photos sighted and IDs confirmed. ,Tourists,Researcher,MMF,AAA
DIngo,1,14-11-2021,17:30,17:40,SL,SLF2003,Y,-32.6096,152.228765,MB road through to SL camp,Moving along road. ,Hunted bird in road verge (unsuccessful pounce). Collar downloaded. Collar moving freely.,NJ,Researcher,F,A
DIngo,1,14-11-2021,18:10,18:19,MB,UOM2001,Y,-32.542509,152.309598,MB campsite,Foraging,Eating remians of pot noodle from BBQ area,NJ,Researcher,M,A
Dingo,2,15-11-2021,15:44,15:44,,Unknown Unknown,N,-32.32467,152.08929,West of highway offroad,Running,Were resting beside road.,BP,Researcher,UU,AA
Dingo,3,17-11-2021,17:40,18:00,MB,UOM2002 UOM1701 UOF1801,Y,-32.509226,152.320341,Boomeri,Resting,"All sleeping, collars ok. Bombah Boy collar not working",BA/SG,Researcher,MFM,AAA
Dingo,1,18-11-2021,11:04,11:05,SL,SLF2002,N,-32.615088,152.221118,MB road,Walking,Walking along road back twoards SL. Seemed to be with car that may have intended to feed? Dis weird U turn. Nipples up but not wet.,NJ/BP,Researcher,F,A
Dingo,1,18-11-2021,11:14,11:18,None,SLF1901,Y,-32.669301,152.178084,Corner of Mermaid road. ,Standing,Essentially begging,NJ/BP,Researcher,F,A
Dingo,2,18-11-2021,12:20,12:22,JB,UOF1501 UOM2008,N,-32.67873,152.182385,Bush beside camp site,Running,"Running from us. Two seen. No clear view of collar, but running unimpeded. Tourists saw her previous day and collar looked good. Collar downloaded prior to sighting.",NJ/TH,Researcher,FU,AU
Dingo,1,18-11-2021,13:00,13:01,None,SLF1901,N,-32.67873,152.182385,Bush beside camp site,Eating,Eating pie that appeared to have been dropped by silver 4x4.,NJ,Researcher,F,A
Dingo,2,18-11-2021,16:56,17:46,SL,SLF1501 Unknown,Y,-32.601225,152.26323,Resting in dunes then on beach,,Found near den but not at it. Joined another dingo in dunes that we couldn't see socks to ID. ,NJ/BP,Researcher,FU,AA
Dingo,1,18-11-2021,,,SL,SLF2001,Y,-32.632256,152.209195,Beach access at Lemontree,Walking,Walking past us towards DP as we rescue tourist stuck on beach,NJ/BP,Researcher,F,A
Dingo,1,19-11-2021,14:10,14:20,SL,,Y,-32.62712,152.20612,MBR,Walking,"Stopped on car approach, some begging behaviour",BA/SG,Researcher,F,A
Dingo,2,23-11-2021,19:00,,MB,UOM2002 UOM1701,N,-32.542942,152.310282,MB camp,,,BP,Researcher,MM,AA
Dingo,4,24-11-2021,,,MB,UOM1701 UOF1801 UOM2002 UOM2001,Y,-32.543575,152.307861,MB camp,Resting,Collars both look good and well fitting. ,BP,Researcher,FMMM,AAAA
Dingo,1,2-12-2021,18:30,18:31,JB,UOF1501,Y,-32.675787,152.18341,Bush near Jimmys,Walking,,SG,Researcher,F,A
Dingo,1,3-12-2021,13:00,13:10,SL,SLF2002 ,Y,-32.601054,152.267414,Dark Point,Standing and walking,,SG,Researcher,F,A
Dingo,1,3-12-2021,19:26,19:30,WT,UOM1707,Y,-32.667304,152.176663,Myall St Hawks Nest,Standing/Begging,,SG,Researcher,M,A
Dingo,1,5-12-2021,13:39,13:40,JB,Unknown,Y,-32.676586,152.168914,Bushland Winda Woppa,In bush,,SG,Researcher,U,U
Dingo,1,5-12-2021,17:33,17:47,JB,UOF1501,N,-32.678155,152.177795,Jimmy's beach caravan park,Walking,"Tracked through Yacaba from Jimmy's beach. Seen in Jimmys beach CP after dark. Walking through and beside play ground. Looked in good condition. Collar was good fit, moving freely but not too loose. Picked up again on road out to Winda Woppa. Relaxed with car. Seen to urinate on post beside playground. ",NJ,Researcher,F,A
Dingo,1,12-05-2021,21:00,21:03,SL,SLF2003,N,-32.607657,152.232478,SL campsite #1,Skulking,Skulking through camp. Antenna bent. Some residual tape on leg from darting- doesn't seem to be issue. Vet says will fall off. No limping or sign of constriction. ,NJ,Researcher,F,A
