,X,Date.Time,Asset,Serial.Number,Type,Raw.Payload,Name.Value.Pairs,Latitude,Longitude,Dog,DateTime
1866,1866,43845.37153,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.664886, longitude=152.18575, cause=TURNEDON, inMotion=no, GPSFix=3D, input 1=Level1, input 2=Level1, GPS Quality=3D, Battery Low=Good, network type=Satellite, GPSFail Abort=0, ",-32.664886,152.18575,DINGO-004,2020-01-15 08:55:00
1867,1867,43844.79722,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.661721, longitude=152.182746, cause=TURNEDON, GPSFix=3D, inMotion=no, GPSFail Abort=0, network type=Satellite, Battery Low=Good, input 2=Level1, GPS Quality=3D, input 1=Level1, ",-32.661721,152.182746,DINGO-004,2020-01-14 19:08:00
1868,1868,43844.78681,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.659403, longitude=152.180192, cause=TURNEDON, input 1=Level1, inMotion=no, GPSFix=3D, network type=Satellite, GPSFail Abort=0, input 2=Level1, GPS Quality=3D, Battery Low=Good, ",-32.659403,152.180192,DINGO-004,2020-01-14 18:53:00
1869,1869,43844.29931,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.658212, longitude=152.176394, cause=TURNEDON, input 1=Level1, input 2=Level1, GPS Quality=3D, Battery Low=Good, network type=Satellite, GPSFail Abort=0, inMotion=no, GPSFix=3D, ",-32.658212,152.176394,DINGO-004,2020-01-14 07:11:00
1870,1870,43840.09931,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.641776, longitude=152.180772, cause=TURNEDON, Battery Low=Good, network type=Satellite, input 1=Level1, input 2=Level1, GPS Quality=3D, GPSFix=3D, GPSFail Abort=0, inMotion=no, ",-32.641776,152.180772,DINGO-004,2020-01-10 02:23:00
1871,1871,43837.63542,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.670035, longitude=152.185278, cause=TURNEDON, network type=Satellite, input 2=Level1, input 1=Level1, Battery Low=Good, GPS Quality=3D, inMotion=no, GPSFix=3D, GPSFail Abort=0, ",-32.670035,152.185278,DINGO-004,2020-01-07 15:15:00
1872,1872,43836.90556,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.64684, longitude=152.194955, cause=TURNEDON, Battery Low=Good, network type=Satellite, GPSFail Abort=0, inMotion=no, GPSFix=3D, input 1=Level1, input 2=Level1, GPS Quality=3D, ",-32.64684,152.194955,DINGO-004,2020-01-06 21:44:00
1873,1873,43836.40625,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.658566, longitude=152.186501, cause=TURNEDON, GPSFix=3D, inMotion=no, GPSFail Abort=0, network type=Satellite, Battery Low=Good, input 2=Level1, GPS Quality=3D, input 1=Level1, ",-32.658566,152.186501,DINGO-004,2020-01-06 09:45:00
1874,1874,43836.16736,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.659189, longitude=152.177188, cause=TURNEDON, network type=Satellite, GPSFail Abort=0, inMotion=no, GPSFix=3D, input 1=Level1, input 2=Level1, GPS Quality=3D, Battery Low=Good, ",-32.659189,152.177188,DINGO-004,2020-01-06 04:01:00
1875,1875,43836.13958,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.659124, longitude=152.17721, cause=TURNEDON, input 2=Level1, GPS Quality=3D, input 1=Level1, GPSFix=3D, inMotion=no, GPSFail Abort=0, network type=Satellite, Battery Low=Good, ",-32.659124,152.17721,DINGO-004,2020-01-06 03:21:00
1876,1876,43836.13472,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.65907, longitude=152.177124, cause=TURNEDON, input 1=Level1, inMotion=no, GPSFix=3D, network type=Satellite, GPSFail Abort=0, input 2=Level1, GPS Quality=3D, Battery Low=Good, ",-32.65907,152.177124,DINGO-004,2020-01-06 03:14:00
1877,1877,43836.13264,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.659103, longitude=152.177231, cause=TURNEDON, input 2=Level1, GPS Quality=3D, Battery Low=Good, input 1=Level1, inMotion=no, GPSFix=3D, network type=Satellite, GPSFail Abort=0, ",-32.659103,152.177231,DINGO-004,2020-01-06 03:11:00
1878,1878,43836.04514,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.659199, longitude=152.177231, cause=TURNEDON, input 2=Level1, GPS Quality=3D, Battery Low=Good, network type=Satellite, GPSFail Abort=0, inMotion=no, GPSFix=3D, input 1=Level1, ",-32.659199,152.177231,DINGO-004,2020-01-06 01:05:00
1879,1879,43836.00069,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.659113, longitude=152.177188, cause=TURNEDON, input 1=Level1, input 2=Level1, GPS Quality=3D, network type=Satellite, GPSFail Abort=0, Battery Low=Good, GPSFix=3D, inMotion=no, ",-32.659113,152.177188,DINGO-004,2020-01-06 00:01:00
1880,1880,43835.99375,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.659113, longitude=152.177167, cause=TURNEDON, network type=Satellite, GPSFail Abort=0, input 2=Level1, GPS Quality=3D, Battery Low=Good, input 1=Level1, inMotion=no, GPSFix=3D, ",-32.659113,152.177167,DINGO-004,2020-01-05 23:51:00
1881,1881,43835.98403,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.659414, longitude=152.176995, cause=TURNEDON, input 2=Level1, GPS Quality=3D, Battery Low=Good, network type=Satellite, GPSFail Abort=0, inMotion=no, GPSFix=3D, input 1=Level1, ",-32.659414,152.176995,DINGO-004,2020-01-05 23:37:00
1882,1882,43835.34028,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.653942, longitude=152.177274, cause=TURNEDON, input 2=Level1, GPS Quality=3D, input 1=Level1, network type=Satellite, Battery Low=Good, inMotion=no, GPSFail Abort=0, GPSFix=3D, ",-32.653942,152.177274,DINGO-004,2020-01-05 08:10:00
1883,1883,43834.87847,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.657386, longitude=152.182703, cause=TURNEDON, GPSFail Abort=0, network type=Satellite, Battery Low=Good, input 2=Level1, GPS Quality=3D, input 1=Level1, GPSFix=3D, inMotion=no, ",-32.657386,152.182703,DINGO-004,2020-01-04 21:05:00
1884,1884,43832.25139,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.639705, longitude=152.186973, cause=TURNEDON, GPSFix=3D, GPSFail Abort=0, inMotion=no, Battery Low=Good, network type=Satellite, input 1=Level1, input 2=Level1, GPS Quality=3D, ",-32.639705,152.186973,DINGO-004,2020-01-02 06:02:00
1885,1885,43831.675,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.671291, longitude=152.184119, cause=TURNEDON, GPSFail Abort=0, network type=Satellite, Battery Low=Good, input 2=Level1, GPS Quality=3D, input 1=Level1, GPSFix=3D, inMotion=no, ",-32.671291,152.184119,DINGO-004,2020-01-01 16:12:00
1886,1886,43831.03889,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.6439, longitude=152.191436, cause=TURNEDON, GPS Quality=3D, inMotion=no, GPSFail Abort=0, GPSFix=3D, input 2=Level1, network type=Satellite, Battery Low=Good, input 1=Level1, ",-32.6439,152.191436,DINGO-004,2020-01-01 00:56:00
1887,1887,43831.01944,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.643911, longitude=152.191372, cause=TURNEDON, GPSFix=3D, input 1=Level1, input 2=Level1, GPS Quality=3D, Battery Low=Good, network type=Satellite, GPSFail Abort=0, inMotion=no, ",-32.643911,152.191372,DINGO-004,2020-01-01 00:28:00
1888,1888,43830.94722,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.643739, longitude=152.191393, cause=TURNEDON, input 1=Level1, GPSFix=3D, inMotion=no, GPSFail Abort=0, network type=Satellite, Battery Low=Good, input 2=Level1, GPS Quality=3D, ",-32.643739,152.191393,DINGO-004,2019-12-31 22:44:00
1889,1889,43830.55278,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.632785, longitude=152.194676, cause=TURNEDON, input 2=Level1, GPS Quality=3D, input 1=Level1, network type=Satellite, Battery Low=Good, inMotion=no, GPSFail Abort=0, GPSFix=3D, ",-32.632785,152.194676,DINGO-004,2019-12-31 13:16:00
1890,1890,43830.54861,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.632763, longitude=152.194741, cause=TURNEDON, inMotion=no, GPSFix=3D, input 1=Level1, input 2=Level1, GPS Quality=3D, Battery Low=Good, network type=Satellite, GPSFail Abort=0, ",-32.632763,152.194741,DINGO-004,2019-12-31 13:10:00
1891,1891,43830.31528,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.65479, longitude=152.187231, cause=TURNEDON, GPSFail Abort=0, inMotion=no, GPSFix=3D, input 1=Level1, input 2=Level1, GPS Quality=3D, Battery Low=Good, network type=Satellite, ",-32.65479,152.187231,DINGO-004,2019-12-31 07:34:00
1892,1892,43830.29931,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.654757, longitude=152.187231, cause=TURNEDON, Battery Low=Good, input 2=Level1, GPS Quality=3D, GPSFail Abort=0, network type=Satellite, GPSFix=3D, inMotion=no, input 1=Level1, ",-32.654757,152.187231,DINGO-004,2019-12-31 07:11:00
1893,1893,43830.00069,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.654725, longitude=152.187703, cause=TURNEDON, input 1=Level1, Battery Low=Good, input 2=Level1, GPS Quality=3D, GPSFail Abort=0, network type=Satellite, GPSFix=3D, inMotion=no, ",-32.654725,152.187703,DINGO-004,2019-12-31 00:01:00
1894,1894,43829.99167,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.654575, longitude=152.187552, cause=TURNEDON, GPSFix=3D, inMotion=no, GPSFail Abort=0, network type=Satellite, Battery Low=Good, input 2=Level1, GPS Quality=3D, input 1=Level1, ",-32.654575,152.187552,DINGO-004,2019-12-30 23:48:00
1895,1895,43829.90625,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.658577, longitude=152.185621, cause=TURNEDON, inMotion=no, GPSFix=3D, input 1=Level1, input 2=Level1, GPS Quality=3D, Battery Low=Good, network type=Satellite, GPSFail Abort=0, ",-32.658577,152.185621,DINGO-004,2019-12-30 21:45:00
1896,1896,43828.72986,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.643074, longitude=152.18648, cause=TURNEDON, network type=Satellite, Battery Low=Good, GPSFix=3D, input 2=Level1, inMotion=no, GPS Quality=3D, input 1=Level1, GPSFail Abort=0, ",-32.643074,152.18648,DINGO-004,2019-12-29 17:31:00
1897,1897,43827.86458,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.643782, longitude=152.187874, cause=TURNEDON, GPSFix=3D, GPSFail Abort=0, inMotion=no, Battery Low=Good, network type=Satellite, input 1=Level1, input 2=Level1, GPS Quality=3D, ",-32.643782,152.187874,DINGO-004,2019-12-28 20:45:00
1898,1898,43827.67639,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.647355, longitude=152.18648, cause=TURNEDON, GPSFix=3D, input 2=Level1, GPS Quality=3D, input 1=Level1, network type=Satellite, Battery Low=Good, inMotion=no, GPSFail Abort=0, ",-32.647355,152.18648,DINGO-004,2019-12-28 16:14:00
1899,1899,43827.64306,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.649275, longitude=152.189248, cause=TURNEDON, Battery Low=Good, input 2=Level1, GPS Quality=3D, input 1=Level1, GPSFix=3D, inMotion=no, GPSFail Abort=0, network type=Satellite, ",-32.649275,152.189248,DINGO-004,2019-12-28 15:26:00
1900,1900,43827.36667,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.649511, longitude=152.186759, cause=TURNEDON, inMotion=no, GPSFail Abort=0, network type=Satellite, Battery Low=Good, input 2=Level1, GPS Quality=3D, input 1=Level1, GPSFix=3D, ",-32.649511,152.186759,DINGO-004,2019-12-28 08:48:00
1901,1901,43827.34306,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.649393, longitude=152.186759, cause=TURNEDON, inMotion=no, GPSFix=3D, input 1=Level1, input 2=Level1, GPS Quality=3D, Battery Low=Good, network type=Satellite, GPSFail Abort=0, ",-32.649393,152.186759,DINGO-004,2019-12-28 08:14:00
1902,1902,43827.27361,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.64935, longitude=152.186694, cause=TURNEDON, network type=Satellite, GPSFail Abort=0, inMotion=no, GPSFix=3D, input 1=Level1, input 2=Level1, GPS Quality=3D, Battery Low=Good, ",-32.64935,152.186694,DINGO-004,2019-12-28 06:34:00
1903,1903,43826.40903,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.660648, longitude=152.176416, cause=TURNEDON, GPSFix=3D, input 1=Level1, input 2=Level1, GPS Quality=3D, Battery Low=Good, network type=Satellite, GPSFail Abort=0, inMotion=no, ",-32.660648,152.176416,DINGO-004,2019-12-27 09:49:00
1904,1904,43825.95556,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.661238, longitude=152.178991, cause=TURNEDON, inMotion=no, GPSFix=3D, network type=Satellite, GPSFail Abort=0, input 2=Level1, GPS Quality=3D, Battery Low=Good, input 1=Level1, ",-32.661238,152.178991,DINGO-004,2019-12-26 22:56:00
1905,1905,43825.03472,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.64743, longitude=152.19384, cause=TURNEDON, input 2=Level1, inMotion=no, GPS Quality=3D, Battery Low=Good, GPSFix=3D, network type=Satellite, input 1=Level1, GPSFail Abort=0, ",-32.64743,152.19384,DINGO-004,2019-12-26 00:50:00
1906,1906,43825.02778,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.647398, longitude=152.193861, cause=TURNEDON, inMotion=no, GPSFix=3D, input 1=Level1, input 2=Level1, GPS Quality=3D, Battery Low=Good, network type=Satellite, GPSFail Abort=0, ",-32.647398,152.193861,DINGO-004,2019-12-26 00:40:00
1907,1907,43825.025,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.64743, longitude=152.193775, cause=TURNEDON, GPSFail Abort=0, inMotion=no, GPSFix=3D, input 1=Level1, input 2=Level1, GPS Quality=3D, Battery Low=Good, network type=Satellite, ",-32.64743,152.193775,DINGO-004,2019-12-26 00:36:00
1908,1908,43824.88264,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.667471, longitude=152.184441, cause=TURNEDON, input 1=Level1, input 2=Level1, GPS Quality=3D, Battery Low=Good, network type=Satellite, GPSFail Abort=0, inMotion=no, GPSFix=3D, ",-32.667471,152.184441,DINGO-004,2019-12-25 21:11:00
1909,1909,43824.88056,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.66746, longitude=152.184527, cause=TURNEDON, input 2=Level1, GPS Quality=3D, input 1=Level1, GPSFix=3D, inMotion=no, GPSFail Abort=0, network type=Satellite, Battery Low=Good, ",-32.66746,152.184527,DINGO-004,2019-12-25 21:08:00
1910,1910,43823.72222,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.636089, longitude=152.20562, cause=TURNEDON, GPSFix=3D, inMotion=no, GPSFail Abort=0, network type=Satellite, Battery Low=Good, input 2=Level1, GPS Quality=3D, input 1=Level1, ",-32.636089,152.20562,DINGO-004,2019-12-24 17:20:00
1911,1911,43823.71111,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.640359, longitude=152.191243, cause=TURNEDON, input 2=Level1, GPS Quality=3D, input 1=Level1, network type=Satellite, Battery Low=Good, inMotion=no, GPSFail Abort=0, GPSFix=3D, ",-32.640359,152.191243,DINGO-004,2019-12-24 17:04:00
1912,1912,43823.7,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.640767, longitude=152.183175, cause=TURNEDON, input 2=Level1, GPS Quality=3D, input 1=Level1, GPSFix=3D, inMotion=no, GPSFail Abort=0, network type=Satellite, Battery Low=Good, ",-32.640767,152.183175,DINGO-004,2019-12-24 16:48:00
1913,1913,43823.67292,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.666398, longitude=152.187552, cause=TURNEDON, input 1=Level1, GPSFix=3D, inMotion=no, GPSFail Abort=0, network type=Satellite, Battery Low=Good, input 2=Level1, GPS Quality=3D, ",-32.666398,152.187552,DINGO-004,2019-12-24 16:09:00
1914,1914,43823.66042,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.669595, longitude=152.184162, cause=TURNEDON, input 1=Level1, inMotion=no, GPSFix=3D, network type=Satellite, GPSFail Abort=0, input 2=Level1, GPS Quality=3D, Battery Low=Good, ",-32.669595,152.184162,DINGO-004,2019-12-24 15:51:00
1915,1915,43823.65764,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.670776, longitude=152.18369, cause=TURNEDON, GPSFail Abort=0, network type=Satellite, GPSFix=3D, inMotion=no, input 1=Level1, Battery Low=Good, input 2=Level1, GPS Quality=3D, ",-32.670776,152.18369,DINGO-004,2019-12-24 15:47:00
1916,1916,43823.65556,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.671334, longitude=152.182467, cause=TURNEDON, GPSFail Abort=0, network type=Satellite, GPSFix=3D, inMotion=no, input 1=Level1, Battery Low=Good, input 2=Level1, GPS Quality=3D, ",-32.671334,152.182467,DINGO-004,2019-12-24 15:44:00
1917,1917,43823.64792,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.665368, longitude=152.179463, cause=TURNEDON, GPS Quality=3D, inMotion=no, input 1=Level1, GPSFail Abort=0, network type=Satellite, Battery Low=Good, GPSFix=3D, input 2=Level1, ",-32.665368,152.179463,DINGO-004,2019-12-24 15:33:00
1918,1918,43823.63611,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.660991, longitude=152.174249, cause=TURNEDON, GPSFix=3D, input 2=Level1, GPS Quality=3D, input 1=Level1, network type=Satellite, Battery Low=Good, inMotion=no, GPSFail Abort=0, ",-32.660991,152.174249,DINGO-004,2019-12-24 15:16:00
1919,1919,43823.61528,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.666967, longitude=152.174699, cause=TURNEDON, input 1=Level1, input 2=Level1, GPS Quality=3D, GPSFix=3D, GPSFail Abort=0, inMotion=no, Battery Low=Good, network type=Satellite, ",-32.666967,152.174699,DINGO-004,2019-12-24 14:46:00
1920,1920,43823.59514,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.671216, longitude=152.182446, cause=TURNEDON, GPSFix=3D, GPSFail Abort=0, inMotion=no, Battery Low=Good, network type=Satellite, input 1=Level1, input 2=Level1, GPS Quality=3D, ",-32.671216,152.182446,DINGO-004,2019-12-24 14:17:00
1921,1921,43823.58542,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.672353, longitude=152.183003, cause=TURNEDON, GPSFix=3D, input 2=Level1, GPS Quality=3D, input 1=Level1, network type=Satellite, Battery Low=Good, inMotion=no, GPSFail Abort=0, ",-32.672353,152.183003,DINGO-004,2019-12-24 14:03:00
1922,1922,43823.57431,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.672825, longitude=152.186201, cause=TURNEDON, input 1=Level1, GPSFix=3D, inMotion=no, GPSFail Abort=0, network type=Satellite, Battery Low=Good, input 2=Level1, GPS Quality=3D, ",-32.672825,152.186201,DINGO-004,2019-12-24 13:47:00
1923,1923,43823.57222,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.669767, longitude=152.186716, cause=TURNEDON, network type=Satellite, Battery Low=Good, input 2=Level1, GPS Quality=3D, input 1=Level1, GPSFix=3D, inMotion=no, GPSFail Abort=0, ",-32.669767,152.186716,DINGO-004,2019-12-24 13:44:00
1924,1924,43823.5625,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.668555, longitude=152.18384, cause=TURNEDON, GPSFix=3D, input 2=Level1, GPS Quality=3D, input 1=Level1, network type=Satellite, Battery Low=Good, inMotion=no, GPSFail Abort=0, ",-32.668555,152.18384,DINGO-004,2019-12-24 13:30:00
1925,1925,43823.56111,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.668812, longitude=152.183003, cause=TURNEDON, GPSFix=3D, input 2=Level1, GPS Quality=3D, input 1=Level1, network type=Satellite, Battery Low=Good, inMotion=no, GPSFail Abort=0, ",-32.668812,152.183003,DINGO-004,2019-12-24 13:28:00
1926,1926,43823.55694,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.67305, longitude=152.182853, cause=TURNEDON, GPSFix=3D, input 2=Level1, GPS Quality=3D, input 1=Level1, network type=Satellite, Battery Low=Good, inMotion=no, GPSFail Abort=0, ",-32.67305,152.182853,DINGO-004,2019-12-24 13:22:00
1927,1927,43823.52708,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.670454, longitude=152.181759, cause=TURNEDON, network type=Satellite, Battery Low=Good, input 2=Level1, GPS Quality=3D, input 1=Level1, GPSFix=3D, inMotion=no, GPSFail Abort=0, ",-32.670454,152.181759,DINGO-004,2019-12-24 12:39:00
1928,1928,43823.52014,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.670679, longitude=152.181501, cause=TURNEDON, Battery Low=Good, network type=Satellite, input 1=Level1, input 2=Level1, GPS Quality=3D, GPSFix=3D, GPSFail Abort=0, inMotion=no, ",-32.670679,152.181501,DINGO-004,2019-12-24 12:29:00
1929,1929,43823.50278,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.671409, longitude=152.184377, cause=TURNEDON, input 1=Level1, GPSFix=3D, inMotion=no, GPSFail Abort=0, network type=Satellite, Battery Low=Good, input 2=Level1, GPS Quality=3D, ",-32.671409,152.184377,DINGO-004,2019-12-24 12:04:00
1930,1930,43823.49653,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.669005, longitude=152.185128, cause=TURNEDON, network type=Satellite, GPSFail Abort=0, input 2=Level1, GPS Quality=3D, Battery Low=Good, input 1=Level1, inMotion=no, GPSFix=3D, ",-32.669005,152.185128,DINGO-004,2019-12-24 11:55:00
1931,1931,43823.44028,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.642741, longitude=152.199225, cause=TURNEDON, input 2=Level1, GPS Quality=3D, Battery Low=Good, network type=Satellite, GPSFail Abort=0, inMotion=no, GPSFix=3D, input 1=Level1, ",-32.642741,152.199225,DINGO-004,2019-12-24 10:34:00
1932,1932,43823.43681,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.638525, longitude=152.202873, cause=TURNEDON, GPS Quality=3D, input 1=Level1, input 2=Level1, Battery Low=Good, GPSFail Abort=0, GPSFix=3D, inMotion=no, network type=Satellite, ",-32.638525,152.202873,DINGO-004,2019-12-24 10:29:00
1933,1933,43823.40139,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.632602, longitude=152.206564, cause=TURNEDON, inMotion=no, GPSFix=3D, network type=Satellite, GPSFail Abort=0, input 2=Level1, GPS Quality=3D, Battery Low=Good, input 1=Level1, ",-32.632602,152.206564,DINGO-004,2019-12-24 09:38:00
1934,1934,43823.39653,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.632538, longitude=152.206478, cause=TURNEDON, input 2=Level1, GPS Quality=3D, input 1=Level1, network type=Satellite, Battery Low=Good, inMotion=no, GPSFail Abort=0, GPSFix=3D, ",-32.632538,152.206478,DINGO-004,2019-12-24 09:31:00
